Canonical SMILES,Molecular Weight,LogP,Labute ASA,TPSA,Num H Donors,Num H Acceptors,Num Rotatable Bonds,Num Rings,Tanimoto_to_PFOS,Tanimoto_to_PFOA,Docking Score
O=P(O)(O)OCCOCCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+].[Na+],728.1870000000002,0.1717000000000013,270.29912639779207,85.22000000000001,2.0,4.0,17.0,0.0,0.2564102564102564,0.2631578947368421,
O=C(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)c1ccccc1S(=O)(=O)[O-].[Na+],638.2520000000001,2.463700000000003,227.046493672586,83.5,0.0,5.0,11.0,1.0,0.1698113207547169,0.1509433962264151,
O=C(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)c1ccccc1CS(=O)(=O)[O-].[Na+],552.2650000000001,1.3342000000000012,204.01940994648453,83.5,0.0,5.0,10.0,1.0,0.1666666666666666,0.1481481481481481,
CCCN(CC(=O)[O-])S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],633.2460000000002,1.1815999999999998,218.43647341991863,77.51,0.0,4.0,14.0,0.0,0.2666666666666666,0.2444444444444444,
O=C([O-])CCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],508.1719999999999,1.6278,178.6130767336232,40.13,0.0,3.0,11.0,0.0,0.2631578947368421,0.3055555555555556,
C[N+](C)(C)CCOCCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],678.8330000000002,1.9896,220.57456630840272,55.4,1.0,3.0,15.0,0.0,0.3023255813953488,0.1956521739130435,
C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Br-],629.224,1.3377,192.39473278975169,46.17,1.0,2.0,11.0,0.0,0.3513513513513513,0.225,
O=P([O-])(O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F.[NH4+],629.1220000000002,5.822700000000003,188.0867540026409,106.09,2.0,3.0,12.0,0.0,0.1666666666666666,0.1707317073170731,
C[N+](C)(C)C.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,573.2650000000001,4.820900000000003,178.17198845630674,57.2,0.0,3.0,7.0,0.0,0.4814814814814814,0.3,
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Ag+],620.9379999999999,4.378499999999999,175.7580614185309,40.13,0.0,2.0,8.0,0.0,0.3703703703703703,0.5652173913043478,
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],369.9899999999999,-0.5209000000000006,128.33418533042243,40.13,0.0,2.0,5.0,0.0,0.3703703703703703,0.5652173913043478,
CCCN(CCOCCOCCOCCOCCCS(=O)(=O)[O-])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],861.5620000000006,2.0008,306.2339633933029,131.5,0.0,9.0,26.0,0.0,0.2708333333333333,0.1764705882352941,
O=S(=O)([O-])c1ccc(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[NH4+],659.2610000000001,6.947900000000003,206.73898640815892,102.93,1.0,4.0,10.0,1.0,0.2972972972972973,0.2368421052631578,
CCCCN(CCCS(=O)(=O)[O-])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],483.3,-0.2166999999999992,172.32530189672323,94.57999999999998,0.0,5.0,11.0,0.0,0.325,0.2093023255813953,
CCCCCCN(CC(=O)[O-])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],479.402,-0.6218999999999992,196.64236302274912,77.51,0.0,4.0,11.0,0.0,0.3095238095238095,0.2272727272727272,
