Canonical SMILES,Molecular Weight,LogP,Labute ASA,TPSA,Num H Donors,Num H Acceptors,Num Rotatable Bonds,Num Rings
CCCCCCCCCCCCCCCCCCOC(=O)C(F)(F)C(F)(F)C(F)(F)F,466.52199999999993,8.624000000000002,180.83685058019265,26.3,0.0,2.0,19.0,0.0
Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(NC(=O)c2ccc(F)cc2Cl)c1,564.8600000000001,7.889940000000004,215.15050434999642,58.2,2.0,2.0,5.0,3.0
CC(C)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,556.1590000000001,6.5827000000000035,173.53879638573792,26.3,0.0,2.0,9.0,0.0
CCOC(=O)C(F)(F)C(F)(F)F,192.08299999999997,1.7470999999999999,64.3017638295978,26.3,0.0,2.0,2.0,0.0
C[N+](C)(CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-],763.2760000000002,7.143500000000008,242.3721551691628,40.129999999999995,0.0,2.0,16.0,0.0
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,500.1259999999999,4.841100000000001,145.73658368839241,54.370000000000005,1.0,2.0,6.0,0.0
C[N+](C)(C)CC(O)CSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,796.3950000000003,8.727400000000001,254.69868520888085,20.23,1.0,2.0,17.0,0.0
O=C(O)C(F)(F)C(F)(F)C(F)=CCl,224.512,2.3913,73.59611554698435,37.3,1.0,1.0,3.0,0.0
C=CCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,304.15199999999993,4.047300000000002,101.57254876666114,9.23,0.0,1.0,7.0,0.0
C[N+](C)(CCCC(=O)[O-])CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,591.3020000000001,5.382500000000003,196.3179877169597,40.129999999999995,0.0,2.0,14.0,0.0
O=C(O)C(F)OC(F)(F)C(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)F,476.069,3.8059000000000003,146.13482346934728,83.45000000000002,1.0,6.0,11.0,0.0
CC1CCC(C(F)(C(F)(F)F)C(F)(F)F)C(O)C1,282.19899999999996,3.6164000000000023,98.97088047654945,20.23,1.0,1.0,1.0,1.0
CCOP(=O)(OCC)C1=C(P(=O)(OCC)OCC)C(F)(F)C(F)(F)C1(F)F,448.23300000000006,5.649700000000004,151.79639638315595,71.06,0.0,6.0,10.0,1.0
