Canonical SMILES,Molecular Weight,LogP,Labute ASA,TPSA,Num H Donors,Num H Acceptors,Num Rotatable Bonds,Num Rings,Tanimoto_to_PFOS,Tanimoto_to_PFOA,Docking Score
O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,566.0760000000001,6.762500000000004,168.19197313621655,17.07,0.0,1.0,8.0,0.0,0.2758620689655172,0.44,-6.9213018
FC1(F)C(c2ccccc2)C1(F)F,190.13899999999995,3.0544,72.18253992086248,0.0,0.0,0.0,1.0,2.0,0.0294117647058823,0.0625,-5.1290665
CC(C)CC(=O)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,320.1509999999999,4.001400000000002,106.42367389888916,26.3,0.0,2.0,3.0,0.0,0.1714285714285714,0.2121212121212121,-5.65518
FC(F)(F)C(F)(F)C(F)(F)CCCCI,352.03099999999995,4.424600000000001,95.34948965573648,0.0,0.0,0.0,5.0,0.0,0.1935483870967742,0.2,-5.5382466
COC(=O)C(F)(F)C(F)(F)C(F)(F)Br,288.96899999999994,2.417700000000001,82.33484683816539,26.3,0.0,2.0,3.0,0.0,0.1818181818181818,0.2666666666666666,-4.8541179
FC(OC(F)(F)C(F)(F)C(CI)C(F)(F)F)C(F)(F)F,439.99,4.702500000000001,117.12517649694828,9.23,0.0,1.0,5.0,0.0,0.0769230769230769,0.0789473684210526,-5.7025986
C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,518.163,6.115100000000003,164.5181225477012,26.3,0.0,2.0,10.0,0.0,0.2702702702702703,0.3142857142857143,-6.9276028
C=C(C)C(=O)SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,598.2650000000001,7.857100000000005,190.5886423782053,17.07,0.0,2.0,10.0,0.0,0.1904761904761904,0.225,-8.314888
C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,718.1910000000003,8.656300000000002,223.3021742286975,26.3,0.0,2.0,14.0,0.0,0.2702702702702703,0.3142857142857143,-8.7898283
CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,471.235,3.326700000000002,147.49053361025452,57.61,1.0,3.0,9.0,0.0,0.4117647058823529,0.2702702702702703,-6.8986325
